name,slug,id,category,energy,fat,satFat,carbs,sugar,protein,salt,description,actualPrice,loyaltyPrice,unitOfMeasure,conversionMeasure,conversionValue,constraintCode
"Virtos GIMINIŲ dešrelės, a. r., 860 g",Virtos-GIMINIU-desreles-a-r-860-g,K3KSs6z78WUGSvY8gBYc,Boiled sausages and sausages,263,24,8.7,0.7,0,11,1.7,"Virtos dešrelės, aukščiausia rūšis",7.99,,VNT,KG,0.86,fresh
"Lietiniai su kumpiu ir sūriu IKI ŠEFAI, 600 g",Lietiniai-su-kumpiu-ir-suriu-600-g-pakuote,0rOGuSPS96F5xjAcpMXd,Flour dishes,231,8.9,5.4,17,2.3,11,11,"Lietiniai su kumpiu ir sūriu IKI ŠEFAI, 600 g",6.99,4.89,VNT,KG,0.6,
"Bulvių traškučiai su sūriu ir svogūnais OHO!, 60 g",Bulviu-traskuciai-su-suriu-ir-svogunais-OHO-60-g,ANApuYUzk6NmQv8qjnFS,Chips,501,25,2.6,59,2.5,8.2,3,Bulvių traškučiai.,0.75,0.56,VNT,KG,0.06,
"Vanilinis plombyras DADU, 120 ml",Vanilinis-plombyras-DADU-120-ml,xKnrjA6Hy9236gFb6h8E,Ice cream in portions,248,13.7,8,26,21,5,0.1,Vanilinis plombyras.,1.29,0.77,VNT,L,0.12,frozen
"Graikiškas, natūralus jogurtas GRAIKIŠKA AMFORA, 370 g",Graikiskas-naturalus-jogurtas-GRAIKISKA-AMFORA-370-g,midXsu7MEnEqIf6hf8Ow,Greek yogurt,88,3.9,2.5,4.2,3.6,9,0.1,"Graikiškas, natūralus jogurtas",1.99,,VNT,KG,0.37,fresh
"Kefyras 2,5% rieb. VILKYŠKIŲ, 1 kg",Kefyras-25percent-rieb-VILKYSKIU-1-kg,aXmEcmr8QDJrKfg4vvah,Kefir,54,2.5,1.6,4.6,3.4,3.3,0.11,"Net visas kilogramas švelnaus skonio „Vilkyškių“ kefyro! Daugelio pamėgtas dėl išskirtinės rūgštelės. Tinka tiek kaip gėrimas, tiek kaip ingredientas gaminant šaltibarščius ar kitus patiekalus. Kefyras – baltymų šaltinis.",,,VNT,KG,1,fresh
"Gėrimas PEPSI MAX, 1,5 l",Gerimas-PEPSI-MAX-15-l,C8VyEA6rt0T3pZzpZyKB,Pepsi,1,0,0,0,0,0,0.01,Gaivusis gėrimas,1.99,,VNT,L,1.5,
"Graikiškas jogurtas ALMA, 4%, 370 g",Graikiskas-jogurtas-ALMA-4percent-370-g,wTJ7kw7yH3UzteIVIyPv,Greek yogurt,80,4,2.5,4,4,7,0.1,"Tyras pienas, autentiškos graikiško jogurto bakterijos ir unikalus, tradicinis gamybos metodas – štai kur maloniai šilkinės jogurto konsistencijos paslaptis. ALMA graikiškam jogurtui pagaminti sunaudojama 2,5 karto daugiau pieno nei įprastam jogurtui, todėl jame yra ir dvigubai daugiau baltymų. Be papildomų priedų, jogurtas gaminamas naudojant tik pieną, grietinėlę ir autentiškas graikiško jogurto bakterijas. Mėgaukitės juo su pusryčių dribsniais, medumi ir riešutais, galite jį išbandyti ir kaip mažiau kaloringą grietinės alternatyvą.",1.99,,VNT,KG,0.37,fresh
"Grietinė 30% riebumo ŽALOJI KARVUTĖ, 400 g",Grietine-30percent-riebumo-ZALOJI-KARVUTE-400-g,tIxU17bKfdgMCpmUInVO,Sour cream,292,30,17.9,3.1,2.3,2.4,0.08,Grietinė 30% riebumo,2.39,,VNT,KG,0.4,fresh
"Rokiškio NAMINĖ grietinė, 30% rieb., 200 g",Rokiskio-NAMINE-grietine-30percent-rieb-200-g,PAzLNSRQwej2cbQejaO7,Sour cream,291,30,19.2,2.8,2.8,2.5,0.1,"Grietinė, 30% rieb.",1.89,,VNT,KG,0.2,fresh
"Kefyras 2,5% rieb. CLEVER, 900 g",Kefyras-25percent-rieb-CLEVER-900-g,6LlbZ2QiQ3TqcyxeEKyn,Kefir,53,2.5,1.2,4.4,3.7,3.2,0.17,"Kefyras 2,5% riebumo",0.85,,VNT,KG,0.9,babyFood
"Glaistytas varškės sūrelis URIGA su aguonomis, 50 g",Glaistytas-varskes-surelis-URIGA-su-aguonomis,UVIkV4KusR513yS9ZwO1,Curd cheeses,372,23,14,29,28,11,0,Glaistytas varškės sūrelis URIGA su aguonomis,0.85,,VNT,KG,0.05,fresh
"Kefyras DVARO, 2,5% rieb., 900 g",Kefyras-DVARO-25percent-rieb-900-g,sUOpaAEl3OMP8v1CvGFU,Kefir,51,2.5,1.5,3.9,2.9,3.2,0.11,"Kefyras, 2,5% rieb.",1.65,1.19,VNT,KG,0.9,fresh
"Sumuštinių duona, raikyta, 500 g",Sumustiniu-duona-raikyta-500-g,h88jwwQwrxQne3nW5tmA,Sandwich bread,273,4.2,0.3,49,2.6,8.3,1.1,"Sumuštinių duona, raikyta, 500 g",0.99,,VNT,KG,0.5,
"Šaldyti prancūziški batonai MANTINGA su česnakiniu sviestu, 350 g",Saldyti-prancuziski-batonai-MANTINGA-su-cesnakiniu-sviestu-350-g,noXO0PQ1G9Z4epeLhhI7,Frozen culinary and confectionery products,325,15,7,39,0.6,6.2,1.6,"Šaldytas prancūziškas batonas su česnakinio sviesto įdaru Tinka prie salotų, sriubos, troškinio ar kaip užkandis. Gaminama orkaitėje.",1.99,,VNT,KG,0.35,frozen
"Sviestas IKI, 170 g",Sviestas-IKI-170-g,lrFqyWW6KxxMShcj9z9D,Butter,743,82,55,0.8,0.8,0.5,0.03,Sviestas 82% riebumas.,2.29,,VNT,KG,0.17,fresh
"Šokoladinis batonėlis MANIJA su lazdynų riešutais, 49 g",Sokoladinis-batonelis-MANIJA-su-lazdynu-riesutais-49-g,G2bMThD6mDv6BkIkpDnf,Bars,470,22.5,9,64,42.5,3.7,0.35,"Batonėlis MANIJA su lazdynų riešutais, ryžių traškučiais ir pieninio šokolado glaistu.",0.89,,VNT,KG,0.049,
"Rokiškio NAMINIS pienas, 2,5% rieb., 2 l",Rokiskio-NAMINIS-pienas-25percent-rieb-2-l,HViAM6fweKiRFGK6u6Dd,Milk,53,2.5,1.5,4.7,4.7,3,0.2,"Be pieno mes neįsivaizduojame nė vienos dienos. Pienas užima išskirtinę vietą tarp maisto produktų. UAB „Rokiškio pienas“ siūlo pieną įvairiose, patogiose pakuotėse.",2.79,,VNT,L,2,fresh
"Šokoladas MILKA WHOLENUTS, 100 g",Sokoladas-MILKA-WHOLENUTS-100-g,MxrJHiDjAoSJNMUgQ4mV,Chocolate,550,36,15,49,47,8.4,0.25,Pieniškas šokoladas MILKA WHOLE NUTS su Alpių karvių pienu ir nesmulkintais lazdynų riešutais. Šokolade mažiausias kakavos kiekis – 30 procentų.,2.59,1.89,VNT,KG,0.1,
"Spagečiai LA MOLISANA SPAGHETTI Nr. 15, 500 g",Spageciai-LA-MOLISANA-SPAGHETTI-Nr-15-500-g,LHQIHWpV8NMDAvtGhsH4,Spaghetti,351,1,0.3,70,4,14,0.01,Spagečiai,1.89,,VNT,KG,0.5,
"Tepamasis sūrelis ŽEMAITIJOS MILDUTĖ, 175 g",Tepamasis-surelis-ZEMAITIJOS-MILDUTE-175-g,uWPtHuqqZo4Pu9Y3V7c1,Spreadable cheeses,267,22.4,14.1,5,4.8,11.4,0.7,"Tepi, švelni konsistencija. Pagyvina patiekalų skonį.",1.99,1.59,VNT,KG,0.175,fresh
"Grietinė DVARO, 30% rieb., 380 g",Grietine-DVARO-30percent-rieb-380-g,o7QZo97SKAWOIxVSpItA,Sour cream,292,30,17.9,3.1,2.3,2.4,0.1,"Grietinė, 30% rieb.",2.99,,VNT,KG,0.38,fresh
"Juoda raikyta BOČIŲ duona, 400 g",Juoda-raikyta-BOCIU-duona-400-g,YUjgdO4LlW2n7o0NZ6eq,Black bread,225,1,0.1,46.5,5,7.5,1.4,"BOČIŲ duona - klasikinio sodraus skonio duona, išsiskirianti lengvu ir subtiliu kmynų aromatu. Gaminio pagrindas – ruginių ir kvietinių miltų mišinys.",1.69,,VNT,KG,0.4,
"Virta PANERIO dešra, 250 g",Virta-PANERIO-desra-250-g,FrEPUQvTxU74TsX6rHhM,Boiled sausages and sausages,201,17.6,6.2,0.66,0.6,10.1,1.76,"Virta PANERIO dešra, 250 g",2.29,,VNT,KG,0.25,fresh
"Jogurtas su vyšniomis 3,6 % rieb. VILKYŠKIŲ, 350 g",Jogurtas-su-vysniomis-36-percent-rieb-VILKYSKIU-350-g,fxIajjEYPTTjw908JXxb,Yogurt desserts,102,3.6,2.1,13.8,12.3,3.2,0.05,"Puikaus skonio, lengvas „Vilkyškių“ jogurtas, paskanintas natūralių vyšnių gabalėliais.",1.59,,VNT,KG,0.35,fresh
"Rauginti kopūstai IKI ŪKIS, 500 g",Rauginti-kopustai-IKI-uKIS-500-g,Q2a6BKDwYqmsNC0sSDa6,Fermented and salted vegetables,186,0.2,0.1,5.24,3.4,1.8,0.6,Rauginti kopūstai,1.59,,VNT,KG,0.5,
